CountryOther,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotalTests
Albania,832,31,595,206,7,9531
Algeria,4997,476,2197,2324,22,6500
Andorra,751,46,521,184,15,1673
Angola,36,2,11,23,0,3000
Argentina,5020,264,1524,3232,148,72315
Armenia,2782,40,1135,1607,10,26929
Australia,6875,97,5984,794,27,688656
Austria,15684,608,13639,1437,97,292254
Azerbaijan,2127,28,1536,563,18,169790
Bahamas,89,11,26,52,1,1485
Bahrain,3934,8,1860,2066,4,160341
Bangladesh,11719,186,1403,10130,1,99646
Barbados,82,7,47,28,4,2549
Belarus,19255,112,4388,14755,92,220045
Belgium,50781,8339,12731,29711,646,474176
Belize,18,2,16,0,0,1043
Benin,96,2,50,44,0,0
Bhutan,7,0,5,2,0,11373
Bolivia,1802,86,187,1529,3,7651
Botswana,23,1,8,14,0,9066
Brazil,121600,8022,48221,65357,8318,339552
Bulgaria,1778,84,360,1334,38,51768
Burundi,15,1,7,7,0,284
Cambodia,122,0,120,2,1,12611
Cameroon,2265,64,1000,1201,12,0
Canada,63375,4223,26993,32159,502,940567
Chad,170,17,43,110,0,0
Chile,23048,281,11189,11578,470,232108
Colombia,8613,378,2013,6222,128,127105
Congo,264,10,30,224,0,0
Croatia,2119,85,1601,433,14,41053
Cuba,1703,69,1001,633,8,57711
Cyprus,883,15,296,572,15,66975
Denmark,9938,506,7493,1939,46,270680
Djibouti,1120,2,745,373,0,14378
Dominica,16,0,14,2,0,416
Ecuador,31881,1569,3433,26879,159,80171
Egypt,7588,469,1815,5304,0,90000
Eritrea,39,0,30,9,0,0
Estonia,1713,55,264,1394,4,58955
Ethiopia,162,4,93,65,0,26517
Fiji,18,0,14,4,0,1300
Finland,5573,252,3500,1821,44,108200
France,174191,25809,53972,94410,3147,1100228
Gabon,397,6,93,298,1,724
Gambia,17,1,9,7,0,562
Georgia,610,9,269,332,6,20579
Germany,167575,7190,137400,22985,1884,2547052
Ghana,2719,18,294,2407,4,129461
Greece,2663,147,1374,1142,36,87052
Grenada,21,0,13,8,4,1406
Guatemala,763,19,79,665,5,7200
Guinea,1856,11,597,1248,0,0
Guyana,93,10,27,56,3,680
Haiti,101,12,10,79,0,1037
Honduras,1270,93,122,1055,10,5653
Hungary,3111,373,759,1979,50,86743
Iceland,1799,10,1750,39,0,51663
India,52987,1785,15331,35871,0,1276781
Indonesia,12438,895,2317,9226,0,121547
Iran,101650,6418,81587,13645,2735,531275
Iraq,2480,102,1602,776,0,117726
Ireland,22248,1375,13386,7487,93,214761
Israel,16314,238,10527,5549,90,423125
Italy,214457,29684,93245,91528,1333,2310929
Jamaica,473,9,56,408,0,5993
Japan,15253,556,4496,10201,308,186343
Jordan,473,9,377,87,5,97110
Kazakhstan,4422,30,1408,2984,31,336480
Kenya,582,26,190,366,1,25861
Kuwait,6289,42,2219,4028,88,196397
Kyrgyzstan,871,12,614,245,13,59490
Laos,19,0,10,9,0,2505
Latvia,900,17,464,419,3,68627
Lebanon,750,25,206,519,43,44701
Liberia,178,20,75,83,0,0
Libya,64,3,24,37,0,2338
Lithuania,1428,48,718,662,17,156493
Luxembourg,3851,98,3452,301,20,50533
Madagascar,158,0,101,57,1,3907
Malawi,43,3,9,31,1,961
Malaysia,6428,107,4702,1619,22,222150
Maldives,618,2,20,596,2,9863
Mali,631,32,261,338,0,2172
Malta,484,5,407,72,0,38337
Mauritania,8,1,6,1,0,1842
Mauritius,332,10,320,2,3,55494
Mexico,26025,2507,16810,6708,378,100041
Moldova,4476,143,1658,2675,237,20447
Monaco,95,4,82,9,1,0
Mongolia,41,0,13,28,0,8946
Morocco,5408,183,2017,3208,1,52958
Mozambique,81,0,19,62,0,2867
Myanmar,161,6,50,105,0,9037
Namibia,16,0,8,8,0,1122
Nepal,99,0,22,77,0,64492
Netherlands,41319,5204,0,35865,628,243277
Nicaragua,16,5,7,4,0,0
Niger,763,38,543,182,0,5375
Nigeria,2950,98,481,2371,4,21208
Norway,7976,216,32,7728,27,189657
Oman,2903,13,888,2002,17,40459
Pakistan,23214,544,6281,16389,111,232582
Panama,7523,210,823,6490,88,36483
Paraguay,440,10,142,288,9,11913
Peru,51189,1444,15413,34332,709,406579
Philippines,10004,658,1506,7840,31,140134
Poland,14740,733,4655,9352,160,410468
Portugal,26182,1089,2076,23017,136,470234
Qatar,17972,12,2070,15890,72,112963
Romania,14107,864,5788,7455,244,217139
Russia,165929,1537,21327,143065,2300,4633731
Rwanda,261,0,129,132,0,35992
Senegal,1433,12,493,928,6,18969
Seychelles,11,0,8,3,0,0
Singapore,20198,20,1634,18544,23,175604
Slovakia,1429,25,762,642,4,104606
Slovenia,1448,99,246,1103,14,58923
Somalia,873,39,87,747,2,0
Spain,253682,25857,159359,68466,2075,1932455
Sudan,852,45,80,727,0,0
Suriname,10,1,9,0,0,404
Sweden,23918,2941,4074,16903,425,148500
Switzerland,30060,1795,25400,2865,121,290365
Syria,45,3,27,15,0,0
Thailand,2989,55,2761,173,61,227860
Togo,128,9,77,42,0,8835
Tunisia,1022,43,482,497,17,25165
Turkey,131744,3584,78202,49958,1278,1234724
Uganda,98,0,55,43,0,44110
Ukraine,13184,327,2097,10760,169,144283
Uruguay,670,17,468,185,10,23811
Uzbekistan,2233,10,1577,646,8,325000
Venezuela,367,10,164,193,1,490851
Vietnam,271,0,232,39,8,261004
Yemen,25,5,1,19,0,120
Zambia,139,4,92,43,1,7277
Zimbabwe,34,4,5,25,0,7642
